from,to,n
Gregg County,Wood County,124
Gregg County,Garza County,0
Gregg County,Culberson County,0
Gregg County,Henderson County,0
Gregg County,Presidio County,0
Gregg County,Reeves County,32
Gregg County,Delta County,0
Gregg County,Real County,0
Gregg County,Gaines County,0
Gregg County,Archer County,0
Gregg County,Glasscock County,0
Gregg County,Madison County,0
Gregg County,Mitchell County,0
Gregg County,Castro County,0
Gregg County,Kleberg County,0
Gregg County,Cottle County,0
Gregg County,Kimble County,0
Gregg County,Loving County,0
Gregg County,Jones County,0
Gregg County,Reagan County,0
Gregg County,Hunt County,0
Gregg County,Houston County,0
Gregg County,Baylor County,0
Gregg County,Leon County,68
Gregg County,San Saba County,0
Gregg County,Crosby County,0
Gregg County,Howard County,0
Gregg County,Upshur County,725
Gregg County,Wilbarger County,0
Gregg County,Waller County,0
Gregg County,Kendall County,0
Gregg County,Johnson County,21
Gregg County,Cherokee County,46
Gregg County,Pecos County,23
Gregg County,Jefferson County,0
Gregg County,Lavaca County,0
Gregg County,Harrison County,2690
Gregg County,Jeff Davis County,0
Gregg County,Midland County,41
Gregg County,Tom Green County,0
Gregg County,Bell County,0
Gregg County,Wheeler County,0
Gregg County,Runnels County,0
Gregg County,Galveston County,0
Gregg County,Bosque County,0
Gregg County,Milam County,0
Gregg County,Polk County,20
Gregg County,Ward County,0
Gregg County,Rusk County,1597
Gregg County,Val Verde County,0
Gregg County,Fannin County,0
Gregg County,Deaf Smith County,0
Gregg County,Eastland County,0
Gregg County,Lampasas County,0
Gregg County,Newton County,0
Borden County,Gregg County,0
Borden County,Borden County,171
Borden County,Gonzales County,0
Borden County,Caldwell County,0
Borden County,Willacy County,0
Borden County,Jim Wells County,0
Borden County,Kinney County,0
Borden County,Camp County,0
Borden County,Liberty County,0
Borden County,Haskell County,0
Borden County,San Jacinto County,0
Borden County,Wilson County,0
Borden County,DeWitt County,0
Borden County,Aransas County,0
Borden County,McMullen County,0
Borden County,Hutchinson County,0
Borden County,La Salle County,0
Borden County,Atascosa County,0
Borden County,Zapata County,0
Borden County,Brown County,0
Borden County,Mills County,0
Borden County,Donley County,0
Borden County,Guadalupe County,0
Borden County,Cooke County,0
Borden County,Parker County,0
Borden County,Randall County,0
Borden County,Burnet County,0
Borden County,Freestone County,0
Borden County,Crane County,0
Borden County,Bailey County,0
Borden County,Blanco County,0
Borden County,Ector County,0
Borden County,Hill County,0
Borden County,Refugio County,0
Borden County,Sabine County,0
Borden County,Denton County,0
Borden County,Goliad County,0
Borden County,Navarro County,0
Borden County,Comanche County,0
Borden County,Throckmorton County,0
Borden County,Uvalde County,0
Borden County,Nolan County,0
Borden County,Hale County,0
Borden County,Smith County,0
Borden County,Lipscomb County,0
Borden County,Titus County,0
Borden County,Jack County,0
Borden County,Montgomery County,0
Borden County,Wichita County,3
Borden County,Lamb County,0
Borden County,Angelina County,0
Borden County,Starr County,0
Borden County,Hemphill County,0
Borden County,Bandera County,0
Borden County,Jasper County,0
Borden County,Palo Pinto County,0
Borden County,Zavala County,0
Borden County,Clay County,0
Borden County,Victoria County,0
Borden County,Hartley County,0
Borden County,McCulloch County,0
Borden County,Ellis County,0
Borden County,Fort Bend County,0
Borden County,Rains County,0
Borden County,Lynn County,2
Borden County,Stephens County,0
Borden County,Red River County,0
Borden County,Terry County,0
Borden County,Brewster County,0
Borden County,Limestone County,0
Borden County,Travis County,0
Borden County,Upton County,0
Borden County,Bowie County,0
Borden County,Knox County,0
Borden County,Somervell County,0
Borden County,Sherman County,0
Borden County,Winkler County,0
Borden County,Andrews County,0
Borden County,Matagorda County,0
Borden County,Coryell County,0
Borden County,Colorado County,0
Borden County,Callahan County,0
Borden County,Morris County,0
Borden County,Bee County,0
Borden County,Franklin County,0
Borden County,Cass County,0
Borden County,Taylor County,0
Borden County,McLennan County,0
Borden County,Wharton County,0
Borden County,Robertson County,0
Borden County,Cameron County,0
Borden County,Van Zandt County,0
Borden County,Yoakum County,0
Borden County,Crockett County,0
Borden County,Panola County,0
Borden County,Terrell County,0
Borden County,Lee County,0
Borden County,Walker County,0
Borden County,Hidalgo County,0
Borden County,Collingsworth County,0
Borden County,Lamar County,0
Borden County,Live Oak County,0
Borden County,Jim Hogg County,0
Borden County,Dallam County,0
Borden County,Dallas County,0
Borden County,Gray County,0
Borden County,Chambers County,0
Borden County,Hardin County,0
Borden County,Roberts County,0
Borden County,Scurry County,29
Borden County,Rockwall County,0
Borden County,Brazos County,0
Borden County,Calhoun County,0
Borden County,King County,0
Borden County,Grayson County,0
Borden County,Mason County,0
Borden County,Parmer County,0
Borden County,Shelby County,0
Borden County,El Paso County,0
Borden County,Hays County,0
Borden County,Tarrant County,0
Borden County,Kenedy County,0
Borden County,Martin County,2
Borden County,Jackson County,0
Borden County,San Patricio County,0
Borden County,Falls County,0
Borden County,Sterling County,0
Borden County,Gillespie County,0
Borden County,Carson County,0
Borden County,Dickens County,0
Borden County,Dimmit County,0
Borden County,Bastrop County,0
Borden County,Coke County,0
Borden County,Medina County,0
Borden County,Menard County,0
Borden County,Ochiltree County,0
Borden County,Bexar County,0
Borden County,Floyd County,0
Borden County,Brooks County,0
Borden County,Irion County,0
Borden County,Cochran County,0
Borden County,Kerr County,0
Borden County,Marion County,0
Borden County,Moore County,0
Borden County,Maverick County,0
Borden County,Nueces County,0
Borden County,Briscoe County,0
Borden County,Austin County,0
Borden County,Hockley County,0
Borden County,Swisher County,0
Borden County,Childress County,0
Borden County,Kaufman County,17
Borden County,Foard County,0
Borden County,Schleicher County,0
Borden County,Edwards County,0
Borden County,Hamilton County,0
Borden County,Potter County,0
Borden County,Trinity County,0
Borden County,Hudspeth County,0
Borden County,Brazoria County,0
Borden County,Montague County,0
Borden County,Tyler County,0
Borden County,Burleson County,0
Borden County,Llano County,0
Borden County,Grimes County,0
Borden County,Hansford County,0
Borden County,Orange County,0
Borden County,Harris County,0
Borden County,Nacogdoches County,0
Borden County,Shackelford County,0
Borden County,Sutton County,0
Borden County,Young County,0
Borden County,Fayette County,0
Borden County,Hood County,0
Borden County,Hopkins County,0
Borden County,Karnes County,0
Borden County,Lubbock County,3
Borden County,Coleman County,0
Borden County,Washington County,0
Borden County,Webb County,0
Borden County,Wise County,0
Borden County,Fisher County,0
Borden County,Oldham County,0
Borden County,Williamson County,0
Borden County,Armstrong County,0
Borden County,Frio County,0
Borden County,Erath County,0
